aw_product_id,merchant_product_id,merchant_category,aw_deep_link,merchant_image_url,search_price,description,product_name,rrp_price,display_price,brand_name,size,suitable_for,colour,merchant_deep_link
3105206585,10953292,"Trainers [Clothing/Women/Footwear]",http://www.awin1.com/pclick.php?p=3105206585&a=166012&m=3660,http://s4.thcdn.com/productimg/0/130/130/90/10953290-1401204378-154289.jpg,95.00,"A cute and casual option  KG Kurt Geiger present the women's Libby Leather Trainers. Crafted from luxurious pony leather with a metallic finish  the low top trainers feature five eyelet lace up closure and contrasting heel and toe caps. Set upon a durable white rubber sole for ultimate grip. - K.N.    KG Kurt Geiger women's Libby Leather Trainers  Upper: Leather. Lining: Fabric. Sole: Synthetic  Low top  Five eyelet lace up closure  Contrasting heel and toe caps  Durable white rubber sole  Heel height: Flat","KG Kurt Geiger Women's Libby Leather Trainers - Nude",95.00,GBP95.00,"KG Kurt Geiger","UK 5/Eur 38",Women,Nude,http://www.allsole.com/trainers-clothing/women/footwear/kg-kurt-geiger-women-s-libby-leather-trainers-nude-uk-5/eur-38-uk-5/eur-38-nude/10953292.html
3105206527,10953293,"Trainers [Clothing/Women/Footwear]",http://www.awin1.com/pclick.php?p=3105206527&a=166012&m=3660,http://s4.thcdn.com/productimg/0/130/130/90/10953290-1401204378-154289.jpg,95.00,"A cute and casual option  KG Kurt Geiger present the women's Libby Leather Trainers. Crafted from luxurious pony leather with a metallic finish  the low top trainers feature five eyelet lace up closure and contrasting heel and toe caps. Set upon a durable white rubber sole for ultimate grip. - K.N.    KG Kurt Geiger women's Libby Leather Trainers  Upper: Leather. Lining: Fabric. Sole: Synthetic  Low top  Five eyelet lace up closure  Contrasting heel and toe caps  Durable white rubber sole  Heel height: Flat","KG Kurt Geiger Women's Libby Leather Trainers - Nude",95.00,GBP95.00,"KG Kurt Geiger","UK 6/Eur 39",Women,Nude,http://www.allsole.com/trainers-clothing/women/footwear/kg-kurt-geiger-women-s-libby-leather-trainers-nude-uk-6/eur-39-uk-6/eur-39-nude/10953293.html
3105206679,10953297,"Trainers [Clothing/Women/Footwear]",http://www.awin1.com/pclick.php?p=3105206679&a=166012&m=3660,http://s4.thcdn.com/productimg/0/130/130/95/10953295-1401204378-154505.jpg,95.00,"A cute and casual option  KG Kurt Geiger present the Women's Libby Snake Print Leather Trainers. Crafted from luxurious snake printed leather the low top trainers feature five eyelet lace-up closure and contrasting heel and toe caps. Set upon a durable white rubber sole for ultimate grip. - K.N.    KG Kurt Geiger Women's Libby Leather Trainers  Upper: Leather. Lining: Fabric. Sole: Synthetic  Snake print  Low top  Five eyelet lace-up closure  Contrasting heel and toe caps  Durable white rubber sole  Heel height: Flat","KG Kurt Geiger Women's Libby Snake Print Leather Trainers - Beige",95.00,GBP95.00,"KG Kurt Geiger","UK 5/Eur 38",Women,Beige,http://www.allsole.com/trainers-clothing/women/footwear/kg-kurt-geiger-women-s-libby-snake-print-leather-trainers-beige-uk-5/eur-38-uk-5/eur-38-beige/10953297.html
3105206557,10953298,"Trainers [Clothing/Women/Footwear]",http://www.awin1.com/pclick.php?p=3105206557&a=166012&m=3660,http://s4.thcdn.com/productimg/0/130/130/95/10953295-1401204378-154505.jpg,95.00,"A cute and casual option  KG Kurt Geiger present the Women's Libby Snake Print Leather Trainers. Crafted from luxurious snake printed leather the low top trainers feature five eyelet lace-up closure and contrasting heel and toe caps. Set upon a durable white rubber sole for ultimate grip. - K.N.    KG Kurt Geiger Women's Libby Leather Trainers  Upper: Leather. Lining: Fabric. Sole: Synthetic  Snake print  Low top  Five eyelet lace-up closure  Contrasting heel and toe caps  Durable white rubber sole  Heel height: Flat","KG Kurt Geiger Women's Libby Snake Print Leather Trainers - Beige",95.00,GBP95.00,"KG Kurt Geiger","UK 6/Eur 39",Women,Beige,http://www.allsole.com/trainers-clothing/women/footwear/kg-kurt-geiger-women-s-libby-snake-print-leather-trainers-beige-uk-6/eur-39-uk-6/eur-39-beige/10953298.html
3105206681,10953299,"Trainers [Clothing/Women/Footwear]",http://www.awin1.com/pclick.php?p=3105206681&a=166012&m=3660,http://s4.thcdn.com/productimg/0/130/130/95/10953295-1401204378-154505.jpg,95.00,"A cute and casual option  KG Kurt Geiger present the Women's Libby Snake Print Leather Trainers. Crafted from luxurious snake printed leather the low top trainers feature five eyelet lace-up closure and contrasting heel and toe caps. Set upon a durable white rubber sole for ultimate grip. - K.N.    KG Kurt Geiger Women's Libby Leather Trainers  Upper: Leather. Lining: Fabric. Sole: Synthetic  Snake print  Low top  Five eyelet lace-up closure  Contrasting heel and toe caps  Durable white rubber sole  Heel height: Flat","KG Kurt Geiger Women's Libby Snake Print Leather Trainers - Beige",95.00,GBP95.00,"KG Kurt Geiger","UK 7/Eur 40",Women,Beige,http://www.allsole.com/trainers-clothing/women/footwear/kg-kurt-geiger-women-s-libby-snake-print-leather-trainers-beige-uk-7/eur-40-uk-7/eur-40-beige/10953299.html
3105206571,10953302,"Sandals/Flip Flops [Cloth/W/Ftwear]",http://www.awin1.com/pclick.php?p=3105206571&a=166012&m=3660,http://s4.thcdn.com/productimg/0/130/130/00/10953300-1401204378-154164.jpg,95.00,"KG Kurt Geiger present the women's Monty Espadrille Wedged Sandals. A stylish option  the ankle strap espadrilles are crafted with leather upper and woven wedge. Secured with buckle fastening and finished with open heel. - K.N.    KG Kurt Geiger women's Monty Espadrille Wedged Sandals  Upper: Leather. Sole: Synthetic  Fabric upper and woven wedge  Ankle strap with buckle fastening  Open heel  Heel height: 9cm","KG Kurt Geiger Women's Monty Espadrille Wedged Sandals - Black -",95.00,GBP95.00,"KG Kurt Geiger","UK 5/Eur 38",Women,Black,http://www.allsole.com/sandals/flip-flops-cloth/w/ftwear/kg-kurt-geiger-women-s-monty-espadrille-wedged-sandals-black-uk-5/eur-38-uk-5/eur-38-black/10953302.html
3105206529,10953304,"Sandals/Flip Flops [Cloth/W/Ftwear]",http://www.awin1.com/pclick.php?p=3105206529&a=166012&m=3660,http://s4.thcdn.com/productimg/0/130/130/00/10953300-1401204378-154164.jpg,95.00,"KG Kurt Geiger present the women's Monty Espadrille Wedged Sandals. A stylish option  the ankle strap espadrilles are crafted with leather upper and woven wedge. Secured with buckle fastening and finished with open heel. - K.N.    KG Kurt Geiger women's Monty Espadrille Wedged Sandals  Upper: Leather. Sole: Synthetic  Fabric upper and woven wedge  Ankle strap with buckle fastening  Open heel  Heel height: 9cm","KG Kurt Geiger Women's Monty Espadrille Wedged Sandals - Black -",95.00,GBP95.00,"KG Kurt Geiger","UK 7/Eur 40",Women,Black,http://www.allsole.com/sandals/flip-flops-cloth/w/ftwear/kg-kurt-geiger-women-s-monty-espadrille-wedged-sandals-black-uk-7/eur-40-uk-7/eur-40-black/10953304.html
3105546333,10902394,"Flats [Women / Footwear]",http://www.awin1.com/pclick.php?p=3105546333&a=166012&m=3660,http://s4.thcdn.com/productimg/0/130/130/93/10902393-1393347139-127415.jpg,63.00,"Chic and stylish  the Elia.B Women's Bananas Python Leather Ballet Shoes in beige boast a python print upper and real leather construction. Accentuated with a patent toe cap and a patent stripe to the back  the shoes feature a back pull tab and a concealed 2cm wedge for a subtle height boost. K.D.    Women's Bananas Python Leather Ballet Shoes by Elia.B  Python print leather upper  Patent toe cap  2cm hidden wedge  Back pull tab  Please Note: This item may be received in a plain  unbranded box.","Elia.B Women's Bananas Python Leather Ballet Shoes - Beige",125.00,GBP63.00,Elia.B,4,Women,Beige,http://www.allsole.com/flats-women/-footwear/elia.b-women-s-bananas-python-leather-ballet-shoes-beige-4-4beige/10902394.html
3105546331,10902398,"Flats [Women / Footwear]",http://www.awin1.com/pclick.php?p=3105546331&a=166012&m=3660,http://s4.thcdn.com/productimg/0/130/130/93/10902393-1393347139-127415.jpg,63.00,"Chic and stylish  the Elia.B Women's Bananas Python Leather Ballet Shoes in beige boast a python print upper and real leather construction. Accentuated with a patent toe cap and a patent stripe to the back  the shoes feature a back pull tab and a concealed 2cm wedge for a subtle height boost. K.D.    Women's Bananas Python Leather Ballet Shoes by Elia.B  Python print leather upper  Patent toe cap  2cm hidden wedge  Back pull tab  Please Note: This item may be received in a plain  unbranded box.","Elia.B Women's Bananas Python Leather Ballet Shoes - Beige",125.00,GBP63.00,Elia.B,8,Women,Beige,http://www.allsole.com/flats-women/-footwear/elia.b-women-s-bananas-python-leather-ballet-shoes-beige-8-8beige/10902398.html
3105546345,10902397,"Flats [Women / Footwear]",http://www.awin1.com/pclick.php?p=3105546345&a=166012&m=3660,http://s4.thcdn.com/productimg/0/130/130/93/10902393-1393347139-127415.jpg,63.00,"Chic and stylish  the Elia.B Women's Bananas Python Leather Ballet Shoes in beige boast a python print upper and real leather construction. Accentuated with a patent toe cap and a patent stripe to the back  the shoes feature a back pull tab and a concealed 2cm wedge for a subtle height boost. K.D.    Women's Bananas Python Leather Ballet Shoes by Elia.B  Python print leather upper  Patent toe cap  2cm hidden wedge  Back pull tab  Please Note: This item may be received in a plain  unbranded box.","Elia.B Women's Bananas Python Leather Ballet Shoes - Beige",125.00,GBP63.00,Elia.B,7,Women,Beige,http://www.allsole.com/flats-women/-footwear/elia.b-women-s-bananas-python-leather-ballet-shoes-beige-7-7beige/10902397.html
