aw_product_id,merchant_product_id,merchant_category,aw_deep_link,merchant_image_url,aw_image_url,search_price,description,product_name,display_price,brand_name,custom_1,merchant_deep_link
3117698077,81184101,"Women's Footwear",http://www.awin1.com/pclick.php?p=3117698077&a=166012&m=5882,http://www.cloggs.co.uk/content/ebiz/cloggs/invt/81184101/81184101_rmedium.jpg,http://images.productserve.com/preview/2/5882/77/80/3117698077.jpg,15,"The Merino Wool Short is a fantastic new addition to the Cloggs family of shoes. Made with a Merino wool lining and a suede upper, these boots will keep your feet snug and cosy throughout the winter months.  The heel of the boot is sturdy  and  features a  metallic crown logo, to show  that youre treating  your feet like royalty.  On the sole of the boot is a strong grip, meaning that youll still be standing in the icy and  snowy weather.  Your pair of Merino boots will look great  with any  outfit  this winter, either  wear them over a pair of tights and a knitted dress for a  dressed up look or dress them down with  a pair of jeans and  your favourite hoodie. This  black boot also means that you could even get away with  wearing these  boots to  work on extremely cold days!  With the Merino boot, your feet will enjoy comfort, style and warmth  day in, day  out!","The Catherine - Merino Wool - Black",GBP15,"Signature Collection",Womens,http://www.cloggs.co.uk/invt/81184101
3117698081,81184201,"Women's Footwear",http://www.awin1.com/pclick.php?p=3117698081&a=166012&m=5882,http://www.cloggs.co.uk/content/ebiz/cloggs/invt/81184201/81184201_rmedium.jpg,http://images.productserve.com/preview/2/5882/81/80/3117698081.jpg,15,"The Merino Wool Tall is a fantastic new addition to the Cloggs family of shoes. Made with a Merino wool lining, a suede upper and a tall shaft, these boots will keep your feet snug and cosy throughout the  winter months.  The heel  of the  boot is  sturdy and  features a metallic crown  logo,  to show that youre treating your feet  like royalty.  On the sole of the boot is a strong grip, meaning that youll still be  standing in the icy and snowy weather. Your pair  of Merino boots will  look great  with  any outfit this winter,  either wear them over a pair of tights and a knitted  dress for  a dressed up look or dress them down  with a pair of jeans and your favourite  hoodie. This black boot also  means that you could even get  away with  wearing these  boots to work on extremely cold  days! With the Merino boot, your feet will enjoy  comfort, style and warmth day  in, day out!","The Victoria - Merino Wool - Black",GBP15,"Signature Collection",Womens,http://www.cloggs.co.uk/invt/81184201
3118707523,81184202,"Women's Footwear",http://www.awin1.com/pclick.php?p=3118707523&a=166012&m=5882,http://www.cloggs.co.uk/content/ebiz/cloggs/invt/81184202/81184202_rmedium.jpg,http://images.productserve.com/preview/2/5882/23/75/3118707523.jpg,20,"The Merino Wool Tall is a fantastic new addition to the Cloggs family of shoes. Made with a Merino wool lining, a suede upper and a tall shaft, these boots will keep your feet snug and cosy throughout the  winter months.  The heel of the  boot is  sturdy and  features a metallic crown logo,  to show that youre treating your feet like  royalty.  On the sole of the boot is a strong grip, meaning that youll still be  standing in the icy and snowy weather.  Your pair of Merino boots will  look great  with  any outfit this  winter, either wear them over a pair of tights and a knitted dress for  a dressed up look or dress them down  with a pair of jeans and your favourite  hoodie. With the Merino boot, your feet will enjoy comfort,  style and warmth  day in, day  out!","The Victoria - Merino Wool - Chestnut",GBP20,"Signature Collection",Womens,http://www.cloggs.co.uk/invt/81184202
3168244215,90991069,"Women's Footwear",http://www.awin1.com/pclick.php?p=3168244215&a=166012&m=5882,http://www.cloggs.co.uk/content/ebiz/cloggs/invt/90991069/90991069_rmedium.jpg,http://images.productserve.com/preview/2/5882/15/42/3168244215.jpg,20,"The Superdry Low Pro Womens in Black is a great lightweight summer shoe which uses a canvas upper to create a great casual look. The contrast toe cap is made from rubber and so is very durable. The ventilation eyelets really make a difference in the hot months and  look great as well. The comfort insole makes  these shoes very supportive and soft.","Superdry - Low Pro Womens - White",GBP20,Superdry,Womens,http://www.cloggs.co.uk/invt/90991069
3117696871,80906401,"Women's Footwear",http://www.awin1.com/pclick.php?p=3117696871&a=166012&m=5882,http://www.cloggs.co.uk/content/ebiz/cloggs/invt/80906401/80906401_rmedium.jpg,http://images.productserve.com/preview/2/5882/71/68/3117696871.jpg,130,"The womens Classic Mini is back, providing the comfort and style UGG® is known for with a soft foam insole  covered with genuine sheepskin and has a light and flexible, molded EVA outsole designed for amazing  comfort with every  step.","UGG® Australia - Classic Mini - Black",GBP130,"UGG® Australia Boots",Womens,http://www.cloggs.co.uk/invt/80906401
3117696873,80906402,"Women's Footwear",http://www.awin1.com/pclick.php?p=3117696873&a=166012&m=5882,http://www.cloggs.co.uk/content/ebiz/cloggs/invt/80906402/80906402_rmedium.jpg,http://images.productserve.com/preview/2/5882/73/68/3117696873.jpg,130,,"UGG® Australia - Classic Mini - Chestnut",GBP130,"UGG® Australia Boots",Womens,http://www.cloggs.co.uk/invt/80906402
3168244847,989458392,"Women's Footwear",http://www.awin1.com/pclick.php?p=3168244847&a=166012&m=5882,http://www.cloggs.co.uk/content/ebiz/cloggs/invt/989458392/989458392_rmedium.jpg,http://images.productserve.com/preview/2/5882/47/48/3168244847.jpg,30,,"Ruby and Ed - Cloud Ballerina Slipper - Leopard",GBP30,"Ruby and Ed",Womens,http://www.cloggs.co.uk/invt/989458392
3168244859,989458399,"Women's Footwear",http://www.awin1.com/pclick.php?p=3168244859&a=166012&m=5882,http://www.cloggs.co.uk/content/ebiz/cloggs/invt/989458399/989458399_rmedium.jpg,http://images.productserve.com/preview/2/5882/59/48/3168244859.jpg,30,,"Ruby and Ed - Whiskers Ballerina Slipper Womens - Golden",GBP30,"Ruby and Ed",Womens,http://www.cloggs.co.uk/invt/989458399
3168244745,909915024,"Women's Footwear",http://www.awin1.com/pclick.php?p=3168244745&a=166012&m=5882,http://www.cloggs.co.uk/content/ebiz/cloggs/invt/909915024/909915024_rmedium.jpg,http://images.productserve.com/preview/2/5882/45/47/3168244745.jpg,40,,"Shepherd - Jessica Womens - Stone",GBP40,Shepherd,Womens,http://www.cloggs.co.uk/invt/909915024
3118707557,81280001,"Women's Footwear",http://www.awin1.com/pclick.php?p=3118707557&a=166012&m=5882,http://www.cloggs.co.uk/content/ebiz/cloggs/invt/81280001/81280001_rmedium.jpg,http://images.productserve.com/preview/2/5882/57/75/3118707557.jpg,120,"These Thelma Perkish nappa wax leather trainers have the combined benefit of providing a high heel with the comfort of a trainer. These shoes are a unique colour in matte taupe with shades of grey. The adjustable buckles and side zip ensure  that these shoes are made to easily fit.","Ash - Thelma Nappa - Wax Perkish",GBP120,Ash,Womens,http://www.cloggs.co.uk/invt/81280001
