aw_product_id,merchant_product_id,merchant_category,aw_deep_link,merchant_image_url,search_price,description,product_name,rrp_price,display_price,brand_name,warranty,specifications,merchant_deep_link
3163667719,1919958220,"Clothing & Accessories -> Shoes -> Sports Shoes & Trainers -> Trainers",http://www.awin1.com/pclick.php?p=3163667719&a=166012&m=2044,http://d2ob0iztsaxy5v.cloudfront.net/product/191995/1919958220_main.jpg,34.99,"We have to admit, we're a sucker for anything holographic. Pair our favourite foil effect with our preferred adidas hi-top and here you have it - the Honey Mid Foil. The silver reflective printed upper features black accents for a vampy finish.  Leather upper Fabric lining Rubber sole unit","womens  adidas  silver & black honey mid foil trainers",55.00,GBP34.99,Adidas,"uk 4 |uk 5 |uk 6 |uk 7 |uk 8","Silver & Black",http://www.schuh.co.uk/womens/adidas-honey-mid-foil-silver-and-black-trainers/1919958220/
3189710309,8708612320,"Clothing & Accessories -> Shoes",http://www.awin1.com/pclick.php?p=3189710309&a=166012&m=2044,http://d2ob0iztsaxy5v.cloudfront.net/product/870861/8708612320_main.jpg,40.00,"Who said only adults should get to wear icons on their feet? Not adidas, as they bring us mighty Stan Smith in a pretty white and pink colourway. Dressed in a leather upper, perforated 3-Stripe branding and a sturdy rubber cupsole finishes nicely.  Leather upper  Fabric lining  Ortholite insole  Rubber cupsole","kids  adidas  white & pink stan smith girls youth",40.00,GBP40.00,Adidas,"uk 3 |uk 4 |uk 5","White & Pink",http://www.schuh.co.uk/kids/youth-adidas-stan-smith-white-and-pink-trainers/8708612320/
3193423917,3404798450,"Clothing & Accessories -> Shoes -> Sports Shoes & Trainers -> Trainers",http://www.awin1.com/pclick.php?p=3193423917&a=166012&m=2044,http://d2ob0iztsaxy5v.cloudfront.net/product/340479/3404798450_main.jpg,65.00,"The brand with the 3-Stripes raids their archives to bring us another updated classic, as this ‘70s running style speeds onto the scene. The adidas ZX 700 features a navy suede upper and is complete with mesh underlays, grey branding and an EVA midsole.  Suede & fabric upper  Towel lining  EVA midsole  Rubber outsole","mens  adidas  navy & grey zx 700 trainers",65.00,GBP65.00,Adidas,"uk 7 |uk 8 |uk 9 |uk 10 |uk 11 |uk 12 |uk 13","Navy & Grey",http://www.schuh.co.uk/mens/adidas-zx-700-navy-and-grey-trainers/3404798450/
3073110699,3405041220,"Clothing & Accessories -> Shoes -> Sports Shoes & Trainers -> Trainers",http://www.awin1.com/pclick.php?p=3073110699&a=166012&m=2044,http://d2ob0iztsaxy5v.cloudfront.net/product/340504/3405041220_main.jpg,62.00,"Bamba is the baby brother of the adidas Samba that was originally released in the 80s as a football shoe. The low profile silhouette remains a popular choice for sport or casual wear and arrives in white with black 3-stripe branding.  Leather upper Breathable fabric liner Razor tread sole","mens  adidas  white & black bamba trainers",62.00,GBP62.00,Adidas,"uk 7 |uk 8 |uk 9 |uk 10 |uk 11 |uk 12 |uk 13","White & Black",http://www.schuh.co.uk/mens/adidas-bamba-white-and-black-trainers/3405041220/
3155713263,3400783250,"Clothing & Accessories -> Shoes -> Sports Shoes & Trainers -> Trainers",http://www.awin1.com/pclick.php?p=3155713263&a=166012&m=2044,http://d2ob0iztsaxy5v.cloudfront.net/product/340078/3400783250_main.jpg,34.99,"Witness the fitness of this 80s legend, as the adidas Powerphase sprints in to give your wardrobe a workout. The rich burgundy suede upper features white accents, with perforated detailing and a chunky rubber sole unit to finish.  Suede upper Fabric lining Padded ankle cuff Rubber outsole","mens  adidas  burgundy powerphase trainers",62.00,GBP34.99,Adidas,"uk 7 |uk 8 |uk 9",Burgundy,http://www.schuh.co.uk/mens/adidas-powerphase-burgundy-trainers/3400783250/
3119631489,1920083150,"Clothing & Accessories -> Shoes -> Sports Shoes & Trainers -> Trainers",http://www.awin1.com/pclick.php?p=3119631489&a=166012&m=2044,http://d2ob0iztsaxy5v.cloudfront.net/product/192008/1920083150_main.jpg,44.99,"The adidas ZX 500 is fast becoming one of the favourite techy running styles in the game, and the graphic printed white and blue Farm Print version is another one to add to your list of must haves. Featuring blue suede overlays, an EVA sole unit finishes.  Fabric & suede upper Breathable fabric lining EVA sole unit adidas X The Farm Company","womens  adidas  white & blue zx 500 farm print trainers",65.00,GBP44.99,Adidas,"uk 5 |uk 6","White & Blue",http://www.schuh.co.uk/womens/adidas-zx-500-farm-print-white-and-blue-trainers/1920083150/
3121944381,5702565870,"Clothing & Accessories -> Shoes",http://www.awin1.com/pclick.php?p=3121944381&a=166012&m=2044,http://d2ob0iztsaxy5v.cloudfront.net/product/570256/5702565870_main.jpg,29.99,"Kids can get involved in the techy running game now as adidas bring us the Tech Super for the little guys. The navy fabric style features yellow and white accents, with a padded ankle cuff and Ortholite insole to keep things fresh to finish.  Fabric upper Padded ankle cuff Ortholite insole EVA sole unit","kids  adidas  navy tech super boys youth",47.00,GBP29.99,Adidas,"uk 3 |uk 5",Navy,http://www.schuh.co.uk/kids/youth-adidas-tech-super-navy-trainers/5702565870/
3104521127,3412296120,"Clothing & Accessories -> Shoes -> Sports Shoes & Trainers -> Trainers",http://www.awin1.com/pclick.php?p=3104521127&a=166012&m=2044,http://d2ob0iztsaxy5v.cloudfront.net/product/341229/3412296120_main.jpg,57.00,"A legendary s 80s silhouette is revived in the adidas Plimcana Low. This low profile trainer is dressed in a dark brown leather upper with tonal 3-stripe branding and vintage treated finish. A slim white cupsole and breathable fabric liner finish.  Leather upper Breathable mesh lining Padded heel section Cupsole","mens  adidas  dark brown plimcana clean low trainers",57.00,GBP57.00,Adidas,"uk 7 |uk 8 |uk 9 |uk 10 |uk 11 |uk 12 |UK 13","Dark Brown",http://www.schuh.co.uk/mens/adidas-plimcana-clean-low-dark-brown-trainers/3412296120/
680062277,3414977550,"Clothing & Accessories -> Shoes -> Sports Shoes & Trainers -> Trainers",http://www.awin1.com/pclick.php?p=680062277&a=166012&m=2044,http://d2ob0iztsaxy5v.cloudfront.net/product/341497/3414977550_main.jpg,67.00,"A total classic from Adidas! Originally released in 1968, the Gazelle OG celebrates the iconic silhouette with a supple premium suede upper. Leather accents feature on the tongue and sides and the rubber sole tops it all off perfectly.","mens  adidas  grey gazelle og trainers",67.00,GBP67.00,Adidas,"uk 7 |uk 8 |uk 9 |uk 10 |uk 11 |uk 12 |uk 13",Grey,http://www.schuh.co.uk/mens/adidas-gazelle-og-grey-trainers/3414977550/
3172542193,1920018570,"Clothing & Accessories -> Shoes -> Sports Shoes & Trainers -> Trainers",http://www.awin1.com/pclick.php?p=3172542193&a=166012&m=2044,http://d2ob0iztsaxy5v.cloudfront.net/product/192001/1920018570_main.jpg,46.99,"We love adidas. Just when we think they can't do any better, they go and combine our fave new silhouette with a cool new graphic print. The ZX Flux Tree Print arrives in green, and features printed pattern detailing and black 3-stripe branding to finish.  Fabric upper & lining TORSION midsole Rubber outsole","womens  adidas  black & green zx flux tree print trainers",67.00,GBP46.99,Adidas,"uk 5 |uk 6","Black & Green",http://www.schuh.co.uk/womens/adidas-zx-flux-tree-print-black-and-green-trainers/1920018570/
3184898897,1920195970,"Clothing & Accessories -> Shoes -> Sports Shoes & Trainers -> Trainers",http://www.awin1.com/pclick.php?p=3184898897&a=166012&m=2044,http://d2ob0iztsaxy5v.cloudfront.net/product/192019/1920195970_main.jpg,55.00,"Stepping off the podium, the adidas SL 72 vintage trainer is a retro revival wonder. First featured in the 1972 Olympics, the navy silhouette has a lightweight nylon upper featuring suede overlays, with white and red accents to finish nicely.  Fabric & suede upper Fabric lining Rubber sole unit","womens  adidas  navy & white sl 72 vintage trainers",55.00,GBP55.00,Adidas,"uk 4 |uk 5 |uk 6 |uk 7 |uk 8","Navy & White",http://www.schuh.co.uk/womens/adidas-sl-72-vintage-navy-and-white-trainers/1920195970/
3136680913,3400857050,"Clothing & Accessories -> Shoes -> Sports Shoes & Trainers -> Trainers",http://www.awin1.com/pclick.php?p=3136680913&a=166012&m=2044,http://d2ob0iztsaxy5v.cloudfront.net/product/340085/3400857050_main.jpg,44.99,"The pitch meets the board as the adidas Etrusco arrives combining the best of both worlds. The retro silhouette features a black suede upper with burgundy leather signature 3-stripe branding and accents, sat on a sturdy rubber sole unit to finish.  Suede upper Breathable fabric lining Rubber sole unit","mens  adidas  black etrusco trainers",65.00,GBP44.99,Adidas,"uk 7 |uk 8 |uk 9 |uk 10 |uk 11",Black,http://www.schuh.co.uk/mens/adidas-etrusco-black-trainers/3400857050/
3192916005,5708635920,"Clothing & Accessories -> Shoes",http://www.awin1.com/pclick.php?p=3192916005&a=166012&m=2044,http://d2ob0iztsaxy5v.cloudfront.net/product/570863/5708635920_main.jpg,35.00,"Get your little one kitted out in some retro ‘80s style shoes, with the help of the adidas Plimcana Low. The Americana basketball silhouette arrives in a navy leather upper, complete with white 3-Stripe branding and a slim rubber sole unit.  Leather & man-made upper Ortholite insole Rubber sole unit","kids  adidas  navy & white plimcana low boys youth",35.00,GBP35.00,Adidas,"uk 3 |uk 4 |uk 5","Navy & White",http://www.schuh.co.uk/kids/youth-adidas-plimcana-low-navy-and-white-trainers/5708635920/
3189498935,5602597350,"Clothing & Accessories -> Shoes",http://www.awin1.com/pclick.php?p=3189498935&a=166012&m=2044,http://d2ob0iztsaxy5v.cloudfront.net/product/560259/5602597350_main.jpg,35.00,"Kids can get in on the retro classics here at schuh, as the adidas Gazelle 2 arrives in a black, red and white colourway. The suede upper features iconic 3-Stripe branding and gold foil detailing, whilst touch fastenings mean no-fuss wear.  Suede & man-made upper  Fabric lining  Ortholite insole  Rubber sole unit","kids  adidas  black & red gazelle 2 boys junior",35.00,GBP35.00,Adidas,"uk 10 |uk 11 |uk 12 |uk 13 |uk 1 |uk 2","Black & Red",http://www.schuh.co.uk/kids/junior-adidas-gazelle-2-black-and-red-trainers/5602597350/
