aw_product_id,merchant_product_id,merchant_category,aw_deep_link,merchant_image_url,aw_image_url,search_price,description,product_name,rrp_price,display_price,brand_name,merchant_deep_link
3076193207,0784554,"Mens,Mens Clothing,Track Tops",http://www.awin1.com/pclick.php?p=3076193207&a=166012&m=2832,http://www.footasylum.com/images/products/medium/078455.jpg,http://images.productserve.com/preview/2/2832/07/32/3076193207.jpg,44.99,"NIKE Poly Track Top Black / Orange","Poly Track Top",44.99,GBP44.99,Nike,http://www.footasylum.com/nike-poly-track-top-078455/
3123493741,0841493,"Mens,Mens Clothing,Hooded Tops",http://www.awin1.com/pclick.php?p=3123493741&a=166012&m=2832,http://www.footasylum.com/images/products/medium/084149.jpg,http://images.productserve.com/preview/2/2832/41/37/3123493741.jpg,74.99,"NIKE Pivot Hooded Top Black","Pivot Hooded Top",74.99,GBP74.99,Nike,http://www.footasylum.com/nike-pivot-hooded-top-084149/
3093224699,0813624,"Mens,Mens Clothing,Track Tops",http://www.awin1.com/pclick.php?p=3093224699&a=166012&m=2832,http://www.footasylum.com/images/products/medium/081362.jpg,http://images.productserve.com/preview/2/2832/99/46/3093224699.jpg,49.99,"NIKE Tribute Track Top Black / White","Tribute Track Top",49.99,GBP49.99,Nike,http://www.footasylum.com/nike-tribute-track-jacket-081362/
3163349007,0863942,"Mens,Mens Clothing,Hooded Tops",http://www.awin1.com/pclick.php?p=3163349007&a=166012&m=2832,http://www.footasylum.com/images/products/medium/086394.jpg,http://images.productserve.com/preview/2/2832/07/90/3163349007.jpg,64.99,"NIKE Track and Field AW77 Full Zip Hooded Top Black","Track and Field AW77 Full Zip Hooded Top",64.99,GBP64.99,Nike,http://www.footasylum.com/nike-track-and-field-aw77-full-zip-hooded-top-086394/
3167491891,0863212,"Mens,Mens Clothing,Track Tops",http://www.awin1.com/pclick.php?p=3167491891&a=166012&m=2832,http://www.footasylum.com/images/products/medium/086321.jpg,http://images.productserve.com/preview/2/2832/91/18/3167491891.jpg,49.99,"NIKE Tribute Track Top Red","Tribute Track Top",49.99,GBP49.99,Nike,http://www.footasylum.com/nike-tribute-track-top-086321/
3170226363,0863072,"Mens,Mens Clothing,Hooded Tops",http://www.awin1.com/pclick.php?p=3170226363&a=166012&m=2832,http://www.footasylum.com/images/products/medium/086307.jpg,http://images.productserve.com/preview/2/2832/63/63/3170226363.jpg,44.99,"NIKE Jordan All-Around Overhead Hooded Top Grey","Jordan All-Around Overhead Hooded Top",44.99,GBP44.99,Nike,http://www.footasylum.com/nike-jordan-allaround-overhead-hooded-top-086307/
3094399899,0815984,"Mens,Mens Clothing,Vests",http://www.awin1.com/pclick.php?p=3094399899&a=166012&m=2832,http://www.footasylum.com/images/products/medium/081598.jpg,http://images.productserve.com/preview/2/2832/99/98/3094399899.jpg,19.99,"NIKE Ace Tank Top White / Black","Ace Tank Top",19.99,GBP19.99,Nike,http://www.footasylum.com/nike-ace-tank-top-081598/
3095490305,0813906,"Mens,Mens Clothing,Hooded Tops",http://www.awin1.com/pclick.php?p=3095490305&a=166012&m=2832,http://www.footasylum.com/images/products/medium/081390.jpg,http://images.productserve.com/preview/2/2832/05/03/3095490305.jpg,49.99,"NIKE AW77 Fleece Full Zip Hooded Top Grey / White","AW77 Fleece Full Zip Hooded Top",49.99,GBP49.99,Nike,http://www.footasylum.com/nike-aw77-fleece-full-zip-hooded-top-081390/
3157908039,0863872,"Mens,Mens Clothing,Hooded Tops",http://www.awin1.com/pclick.php?p=3157908039&a=166012&m=2832,http://www.footasylum.com/images/products/medium/086387.jpg,http://images.productserve.com/preview/2/2832/39/80/3157908039.jpg,54.99,"NIKE Hybrid Overhead Hooded Top Grey","Hybrid Overhead Hooded Top",54.99,GBP54.99,Nike,http://www.footasylum.com/nike-hybrid-overhead-hooded-top-086387/
3155360091,0863862,"Mens,Mens Clothing,Hooded Tops",http://www.awin1.com/pclick.php?p=3155360091&a=166012&m=2832,http://www.footasylum.com/images/products/medium/086386.jpg,http://images.productserve.com/preview/2/2832/91/00/3155360091.jpg,59.99,"NIKE F.C. AW77 Hooded Top Black","F.C. AW77 Hooded Top",59.99,GBP59.99,Nike,http://www.footasylum.com/nike-fc-aw77-hooded-top-086386/
3098994677,0813835,"Mens,Mens Clothing,Track Tops",http://www.awin1.com/pclick.php?p=3098994677&a=166012&m=2832,http://www.footasylum.com/images/products/medium/081383.jpg,http://images.productserve.com/preview/2/2832/77/46/3098994677.jpg,39.99,"NIKE Colour Block Track Top Red / Blue","Colour Block Track Top",49.99,GBP39.99,Nike,http://www.footasylum.com/nike-colour-block-track-top-081383/
3115153171,0785421,"Mens,Mens Clothing,Shorts",http://www.awin1.com/pclick.php?p=3115153171&a=166012&m=2832,http://www.footasylum.com/images/products/medium/078542.jpg,http://images.productserve.com/preview/2/2832/71/31/3115153171.jpg,14.99,"NIKE Woven Short Navy","Woven Short",18.99,GBP14.99,Nike,http://www.footasylum.com/nike-woven-short-078542/
