aw_product_id,merchant_product_id,merchant_category,aw_deep_link,merchant_image_url,aw_image_url,search_price,description,product_name,display_price,brand_name,merchant_deep_link
3163332003,P184591,"Accessories > Scarves > Winter Scarves",http://www.awin1.com/pclick.php?p=3163332003&a=166012&m=5687,http://demandware.edgesuite.net/sits_pod28/dw/image/v2/AAKE_PRD/on/demandware.static/Sites-MenLook-Site/Sites-Menlook-Catalog/default/v1421020356751/images/original/echarpe-carreaux-gris-wrangler-gris-echarpes-184591_1.jpg?sw=600,http://images.productserve.com/preview/7/5687/03/20/3163332003.jpg,16.10,"Checked scarf - Dual colour scarf - Fringing detail - 220 x 110cm - 100% cotton","Grey Checked Scarf",GBP16.10,Wrangler,http://tracking.lengow.com/shortUrl/402-68684-P184591/
3064018459,P113865,"Accessories > Hats & Caps > Beanies",http://www.awin1.com/pclick.php?p=3064018459&a=166012&m=5687,http://demandware.edgesuite.net/sits_pod28/dw/image/v2/AAKE_PRD/on/demandware.static/Sites-MenLook-Site/Sites-Menlook-Catalog/default/v1421020356751/images/original/113865_1.jpg?sw=600,http://images.productserve.com/preview/7/5687/59/84/3064018459.jpg,28.20,"Knitted Set Blue Mesh Beanie and Scarf by WRANGLER -  The beanie: Orange and turquoise blue mesh beanie -  Turn-up -  Small stitched label on front -  100% cotton -  The scarf: Orange and turquoise blue mesh complementary scarf -  Ribbed edges -  Width: 30cm","Knitted Set Blue Mesh Beanie and Scarf",GBP28.20,Wrangler,http://tracking.lengow.com/shortUrl/402-68684-P113865/
3162768479,P184592,"Accessories > Hats & Caps > Beanies",http://www.awin1.com/pclick.php?p=3162768479&a=166012&m=5687,http://demandware.edgesuite.net/sits_pod28/dw/image/v2/AAKE_PRD/on/demandware.static/Sites-MenLook-Site/Sites-Menlook-Catalog/default/v1421020356751/images/original/pack-bonnet-echarpe-bleu-chine-wrangler-bleu-coton-bonnets-184592_1.jpg?sw=600,http://images.productserve.com/preview/7/5687/79/84/3162768479.jpg,32.90,"Cuff beanie - Ribbed - Plain weave -  - Scarf dimensions: 30 x 180 cm -  - Logo on border - Blue marl - 70% cotton, 20% acrylic","Blue marl matching beanie and scarf set",GBP32.90,Wrangler,http://tracking.lengow.com/shortUrl/402-68684-P184592/
3090751925,P16165,"Accessories > Belts & Braces > Belts",http://www.awin1.com/pclick.php?p=3090751925&a=166012&m=5687,http://demandware.edgesuite.net/sits_pod28/dw/image/v2/AAKE_PRD/on/demandware.static/Sites-MenLook-Site/Sites-Menlook-Catalog/default/v1421020356751/images/original/ceinture-noire-reversible-wrangler-noir-cuir-ceintures-16165_1.jpg?sw=600,http://images.productserve.com/preview/7/5687/25/19/3090751925.jpg,39.00,"Reversible leather belt - Black side and brown side - Silver-plated square buckle with slightly aged look - Casual style, perfect with a pair of jeans - 100% leather","Reversible Black Belt",GBP39.00,Wrangler,http://tracking.lengow.com/shortUrl/402-68684-P16165/
3162768485,P184702,"Clothing > Coats & Jackets > Down Jackets",http://www.awin1.com/pclick.php?p=3162768485&a=166012&m=5687,http://demandware.edgesuite.net/sits_pod28/dw/image/v2/AAKE_PRD/on/demandware.static/Sites-MenLook-Site/Sites-Menlook-Catalog/default/v1421020356751/images/original/doudoune-grise-the-protector-wrangler-gris-polyester-doudounes-184702_1.jpg?sw=600,http://images.productserve.com/preview/7/5687/85/84/3162768485.jpg,70.80,"Waterproof down jacket - Down jacket with removable hood - High collar - Zip fastening - Button fastening - Zip pockets - Patch pockets - Flap pockets - Inner pocket - Ribbed cuffs - Logo on sleeve - 100% polyester - Lining: 100% polyamide - Quilting: 100% polyester","The Protector grey down jacket",GBP70.80,Wrangler,http://tracking.lengow.com/shortUrl/402-68684-P184702/
3162768489,P184714,"Clothing > Coats & Jackets > Parkas",http://www.awin1.com/pclick.php?p=3162768489&a=166012&m=5687,http://demandware.edgesuite.net/sits_pod28/dw/image/v2/AAKE_PRD/on/demandware.static/Sites-MenLook-Site/Sites-Menlook-Catalog/default/v1421020356751/images/original/parka-huilee-noire-envy-field-wrangler-noir-coton-parkas-184714_1.jpg?sw=600,http://images.productserve.com/preview/7/5687/89/84/3162768489.jpg,93.80,"Water-resistant parka - Removable hood - High collar - Zip fastening - Button fastening  - Double fastening - Patch pockets - Piped pockets - Flap pockets - Button cuffs - Logo on sleeve - 100% wax-coated cotton","Envy Field black coated parka",GBP93.80,Wrangler,http://tracking.lengow.com/shortUrl/402-68684-P184714/
3162768491,P184732,"Clothing > Coats & Jackets > Parkas",http://www.awin1.com/pclick.php?p=3162768491&a=166012&m=5687,http://demandware.edgesuite.net/sits_pod28/dw/image/v2/AAKE_PRD/on/demandware.static/Sites-MenLook-Site/Sites-Menlook-Catalog/default/v1421020356751/images/original/parka-fourree-noire-the-blizzard-wrangler-noir-coton-parkas-184732_1.jpg?sw=600,http://images.productserve.com/preview/7/5687/91/84/3162768491.jpg,121.80,"Fixed hood - High collar - Quilted lining - Zip fastening - Button fastening  - Zip pockets - Patch pockets - Inner pocket - Button cuffs - Logo on sleeve - Faux-fur trimmed hood - 100% cotton - Lining: 100% polyamide","The Blizzard black fur-trimmed parka",GBP121.80,Wrangler,http://tracking.lengow.com/shortUrl/402-68684-P184732/
3179608581,P184590,"Accessories > Scarves > Light Scarves",http://www.awin1.com/pclick.php?p=3179608581&a=166012&m=5687,http://demandware.edgesuite.net/sits_pod28/dw/image/v2/AAKE_PRD/on/demandware.static/Sites-MenLook-Site/Sites-Menlook-Catalog/default/v1421020356751/images/original/echarpe-carreaux-noir-bordeaux-wrangler-noir-foulards-184590_1.jpg?sw=600,http://images.productserve.com/preview/7/5687/81/85/3179608581.jpg,16.10,"Checked scarf - Two-tone scarf - Clay-red and black - 110cm on side - 100% cotton","Black and Red Checked Scarf",GBP16.10,Wrangler,http://tracking.lengow.com/shortUrl/402-68684-P184590/
3182161007,P184726,"Clothing > Coats & Jackets > Parkas",http://www.awin1.com/pclick.php?p=3182161007&a=166012&m=5687,http://demandware.edgesuite.net/sits_pod28/dw/image/v2/AAKE_PRD/on/demandware.static/Sites-MenLook-Site/Sites-Menlook-Catalog/default/v1421020356751/images/original/parka-doudoune-amovible-grise-the-polar-explorer-wrangler-gris-parkas-184726_1.jpg?sw=600,http://images.productserve.com/preview/7/5687/07/10/3182161007.jpg,207.00,"Waterproof parka - Heat-glued seams - Removable hood - Fur hood - High collar - Removable inner jacket - Quilted lining - Zip fastening - Button fastening - Double fastening - Patched pockets - Flap pockets - Inner pocket - Logo on chest - Jacket can be folded up to fit into a pouch - Parka: 53% polyester 35% cotton 12% polyamide - Down jacket: 100% polyamide - Quilting: 90% down 10% feather","The Polar Explorer Grey Parka with Removable Down Jacket",GBP207.00,Wrangler,http://tracking.lengow.com/shortUrl/402-68684-P184726/
3064018485,P113979,"Clothing > Coats & Jackets > Down Jackets",http://www.awin1.com/pclick.php?p=3064018485&a=166012&m=5687,http://demandware.edgesuite.net/sits_pod28/dw/image/v2/AAKE_PRD/on/demandware.static/Sites-MenLook-Site/Sites-Menlook-Catalog/default/v1421020356751/images/original/113979_1.jpg?sw=600,http://images.productserve.com/preview/7/5687/85/84/3064018485.jpg,99.60,"Armor Bomber Blue Down Jacket by Wrangler - Short regular fit - Removable furry hood - Hidden zipper underneath press-studded tab - Slightly shiny blue jacket - 2 buttoned patch pockets with flaps on chest - 2 zipped diagonal pockets on the front - Waterproof fabric - Outer : 100% polyamide - Lining: 100% polyamide - Filling : 70% duck down, 30% feathers","Armor Bomber Blue Down Jacket",GBP99.60,Wrangler,http://tracking.lengow.com/shortUrl/402-68684-P113979/
